Date,Operation,Amount,Cryptocurrency,FIAT value,FIAT currency,Transaction ID,Withdrawal address,Reference
"2021-02-13T12:58:22+01:00","Staking reward","0.27762626","DFI","0.9735409008916","USD","","","25c15bfe-3e4d-4e6b-bb9f-aed038dfe024"
"2021-02-13T09:52:46+01:00","Staking reward","0.31553487","DFI","1.1262543882345","USD","","","325f4504-9413-4ec3-90d0-0c937375ebc6"
"2021-02-13T06:45:54+01:00","Staking reward","0.35442887","DFI","1.2658852406694","USD","","","426e7bc3-a721-4741-9bf1-f5af78938ff0"
"2021-02-13T03:43:23+01:00","Staking reward","0.26754515","DFI","0.9551361855","USD","","","e317c7af-267c-424a-8e59-5bd83c41b35c"
"2021-02-13T00:35:13+01:00","Staking reward","0.31343035","DFI","1.1440207775","USD","","","98815822-a3ff-4386-bf2e-f87aa50f6cb2"
"2021-02-12T21:29:20+01:00","Staking reward","0.33235298","DFI","1.190671168499","USD","","","b958dcc3-494d-4d82-9fe8-da2a4294d61b"
"2021-02-12T18:22:28+01:00","Staking reward","0.27543542","DFI","0.9942557616992","USD","","","33240882-816d-46a9-8ed6-854ada37637e"
"2021-02-12T15:19:53+01:00","Staking reward","0.26742385","DFI","0.964191342698","USD","","","e5c86f15-841b-43db-814f-58e67982e627"
"2021-02-12T12:14:16+01:00","Staking reward","0.26939158","DFI","0.969809688","USD","","","ef7a065c-25a8-40ca-8b56-0aad615771e7"
"2021-02-12T09:10:11+01:00","Staking reward","0.28731827","DFI","1.035581240561","USD","","","ef3031fc-a287-42f2-bc94-78d8814fdc5b"
"2021-02-12T06:06:33+01:00","Staking reward","0.29626222","DFI","1.0714708327186","USD","","","8e652505-3d78-476d-98d1-6a9a78bda63a"
"2021-02-12T03:03:57+01:00","Staking reward","0.34110925","DFI","1.2486406429025","USD","","","f0bcfd94-51cc-4fe9-937f-7475a88662f8"
"2021-02-12T00:01:42+01:00","Staking reward","0.25132176","DFI","0.9042330735216","USD","","","02790dd6-1161-478e-8769-089af208f26c"
"2021-02-11T20:59:16+01:00","Staking reward","0.33006647","DFI","1.2152486312401","USD","","","350a3922-45c9-4901-9c63-2a5288c4cf39"
"2021-02-11T17:56:30+01:00","Staking reward","0.23631162","DFI","0.863092745307","USD","","","f4c0de2f-ab58-4d92-80b4-65079232303b"
"2021-02-11T14:53:48+01:00","Staking reward","0.28214553","DFI","1.0276643068296","USD","","","f55af326-17f5-4bdc-9360-9bdb51fa7981"
